time (s),reference position (m),reference velocity (m/s),position (m),velocity (m/s),voltage (V)
0,0.000165339,0.132271,6.23755e-05,0.0457989,0.944367
0.0025,0.000661355,0.264542,0.000259816,0.106699,1.44331
0.005,0.00148805,0.396813,0.000618201,0.173984,1.907
0.0075,0.00264542,0.529084,0.00115003,0.245108,2.37243
0.01,0.00413347,0.661355,0.0018638,0.319266,2.84946
0.0125,0.00595219,0.793626,0.00276666,0.39614,3.34033
0.015,0.0081016,0.925897,0.00386517,0.475558,3.84521
0.0175,0.0105817,1.05817,0.00516552,0.55739,4.36367
0.02,0.0133924,1.19044,0.00667238,0.640646,4.8824
0.0225,0.0165339,1.32271,0.00838739,0.723903,5.38902
0.025,0.020006,1.45498,0.0103105,0.80716,5.89563
0.0275,0.0238088,1.58725,0.0124418,0.890416,6.40225
0.03,0.0279422,1.71952,0.0147813,0.973673,6.90886
0.0325,0.0324064,1.85179,0.0173288,1.05693,7.41548
0.035,0.0372012,1.98406,0.0200845,1.14019,7.9221
0.0375,0.0423267,2.11634,0.0230484,1.22344,8.42871
0.04,0.0477829,2.24861,0.0262204,1.3067,8.93533
0.0425,0.0535698,2.38088,0.0296005,1.38996,9.44195
0.045,0.0596873,2.51315,0.0331888,1.47321,9.94856
0.0475,0.0661355,2.64542,0.0369852,1.55647,10.4552
0.05,0.0729144,2.77769,0.0409898,1.63973,10.9618
0.0525,0.0800239,2.90996,0.0452025,1.72298,11.4684
0.055,0.0874642,3.04223,0.0496234,1.80624,11.975
0.0575,0.0952351,3.1745,0.0542074,1.85647,12
0.06,0.103337,3.30677,0.0588884,1.88575,12
0.0625,0.111769,3.43905,0.063626,1.90281,12
0.065,0.120532,3.57132,0.0683966,1.91275,12
0.0675,0.129626,3.70359,0.0731864,1.91855,12
0.07,0.13905,3.83586,0.0779873,1.92192,12
0.0725,0.148805,3.96813,0.0827948,1.92389,12
0.075,0.158795,4,0.0876061,1.92504,12
0.0775,0.168795,4,0.0924196,1.92571,12
0.08,0.178795,4,0.0972344,1.9261,12
0.0825,0.188795,4,0.10205,1.92632,12
0.085,0.198795,4,0.106866,1.92646,12
0.0875,0.208795,4,0.111682,1.92653,12
0.09,0.218795,4,0.116499,1.92658,12
0.0925,0.228795,4,0.121315,1.9266,12
0.095,0.238795,4,0.126132,1.92662,12
0.0975,0.248795,4,0.130948,1.92663,12
0.1,0.258795,4,0.135765,1.92663,12
0.1025,0.268795,4,0.140581,1.92664,12
0.105,0.278795,4,0.145398,1.92664,12
0.1075,0.288795,4,0.150215,1.92664,12
0.11,0.298795,4,0.155031,1.92664,12
0.1125,0.308795,4,0.159848,1.92664,12
0.115,0.318795,4,0.164664,1.92664,12
0.1175,0.328795,4,0.169481,1.92664,12
0.12,0.338795,4,0.174298,1.92664,12
0.1225,0.348795,4,0.179114,1.92664,12
0.125,0.358795,4,0.183931,1.92664,12
0.1275,0.368795,4,0.188747,1.92664,12
0.13,0.378795,4,0.193564,1.92664,12
0.1325,0.388795,4,0.198381,1.92664,12
0.135,0.398795,4,0.203197,1.92664,12
0.1375,0.408795,4,0.208014,1.92664,12
0.14,0.418795,4,0.21283,1.92664,12
0.1425,0.428795,4,0.217647,1.92664,12
0.145,0.438795,4,0.222464,1.92664,12
0.1475,0.448795,4,0.22728,1.92664,12
0.15,0.458795,4,0.232097,1.92664,12
0.1525,0.468795,4,0.236913,1.92664,12
0.155,0.478795,4,0.24173,1.92664,12
0.1575,0.488795,4,0.246547,1.92664,12
0.16,0.498795,4,0.251363,1.92664,12
0.1625,0.508795,4,0.25618,1.92664,12
0.165,0.518795,4,0.260996,1.92664,12
0.1675,0.528795,4,0.265813,1.92664,12
0.17,0.538795,4,0.27063,1.92664,12
0.1725,0.548795,4,0.275446,1.92664,12
0.175,0.558795,4,0.280263,1.92664,12
0.1775,0.568795,4,0.285079,1.92664,12
0.18,0.578795,4,0.289896,1.92664,12
0.1825,0.588795,4,0.294713,1.92664,12
0.185,0.598795,4,0.299529,1.92664,12
0.1875,0.608795,4,0.304346,1.92664,12
0.19,0.618795,4,0.309162,1.92664,12
0.1925,0.628795,4,0.313979,1.92664,12
0.195,0.638795,4,0.318796,1.92664,12
0.1975,0.648795,4,0.323612,1.92664,12
0.2,0.658795,4,0.328429,1.92664,12
0.2025,0.668795,4,0.333245,1.92664,12
0.205,0.678795,4,0.338062,1.92664,12
0.2075,0.688795,4,0.342879,1.92664,12
0.21,0.698795,4,0.347695,1.92664,12
0.2125,0.708795,4,0.352512,1.92664,12
0.215,0.718795,4,0.357328,1.92664,12
0.2175,0.728795,4,0.362145,1.92664,12
0.22,0.738795,4,0.366962,1.92664,12
0.2225,0.748795,4,0.371778,1.92664,12
0.225,0.758795,4,0.376595,1.92664,12
0.2275,0.768795,4,0.381411,1.92664,12
0.23,0.778795,4,0.386228,1.92664,12
0.2325,0.788795,4,0.391045,1.92664,12
0.235,0.798795,4,0.395861,1.92664,12
0.2375,0.808795,4,0.400678,1.92664,12
0.24,0.818795,4,0.405494,1.92664,12
0.2425,0.828795,4,0.410311,1.92664,12
0.245,0.838795,4,0.415128,1.92664,12
0.2475,0.848795,4,0.419944,1.92664,12
0.25,0.858795,4,0.424761,1.92664,12
0.2525,0.868795,4,0.429577,1.92664,12
0.255,0.878795,4,0.434394,1.92664,12
0.2575,0.888795,4,0.439211,1.92664,12
0.26,0.898795,4,0.444027,1.92664,12
0.2625,0.908795,4,0.448844,1.92664,12
0.265,0.918795,4,0.45366,1.92664,12
0.2675,0.928795,4,0.458477,1.92664,12
0.27,0.938795,4,0.463294,1.92664,12
0.2725,0.948795,4,0.46811,1.92664,12
0.275,0.958795,4,0.472927,1.92664,12
0.2775,0.968795,4,0.477743,1.92664,12
0.28,0.978795,4,0.48256,1.92664,12
0.2825,0.988795,4,0.487377,1.92664,12
0.285,0.998795,4,0.492193,1.92664,12
0.2875,1.0088,4,0.49701,1.92664,12
0.29,1.0188,4,0.501826,1.92664,12
0.2925,1.0288,4,0.506643,1.92664,12
0.295,1.0388,4,0.51146,1.92664,12
0.2975,1.0488,4,0.516276,1.92664,12
0.3,1.0588,4,0.521093,1.92664,12
0.3025,1.0688,4,0.525909,1.92664,12
0.305,1.0788,4,0.530726,1.92664,12
0.3075,1.0888,4,0.535543,1.92664,12
0.31,1.0988,4,0.540359,1.92664,12
0.3125,1.1088,4,0.545176,1.92664,12
0.315,1.1188,4,0.549992,1.92664,12
0.3175,1.1288,4,0.554809,1.92664,12
0.32,1.1388,4,0.559626,1.92664,12
0.3225,1.1488,4,0.564442,1.92664,12
0.325,1.1588,4,0.569259,1.92664,12
0.3275,1.1688,4,0.574075,1.92664,12
0.33,1.1788,4,0.578892,1.92664,12
0.3325,1.1888,4,0.583709,1.92664,12
0.335,1.1988,4,0.588525,1.92664,12
0.3375,1.2088,4,0.593342,1.92664,12
0.34,1.2188,4,0.598158,1.92664,12
0.3425,1.2288,4,0.602975,1.92664,12
0.345,1.2388,4,0.607792,1.92664,12
0.3475,1.2488,4,0.612608,1.92664,12
0.35,1.2588,4,0.617425,1.92664,12
0.3525,1.2688,4,0.622241,1.92664,12
0.355,1.2788,4,0.627058,1.92664,12
0.3575,1.2888,4,0.631875,1.92664,12
0.36,1.2988,4,0.636691,1.92664,12
0.3625,1.3088,4,0.641508,1.92664,12
0.365,1.3188,4,0.646324,1.92664,12
0.3675,1.3288,4,0.651141,1.92664,12
0.37,1.3388,4,0.655958,1.92664,12
0.3725,1.3488,4,0.660774,1.92664,12
0.375,1.3588,4,0.665591,1.92664,12
0.3775,1.3688,4,0.670407,1.92664,12
0.38,1.3788,4,0.675224,1.92664,12
0.3825,1.3888,4,0.680041,1.92664,12
0.385,1.3988,4,0.684857,1.92664,12
0.3875,1.4088,4,0.689674,1.92664,12
0.39,1.4188,4,0.694491,1.92664,12
0.3925,1.4288,4,0.699307,1.92664,12
0.395,1.4388,4,0.704124,1.92664,12
0.3975,1.4488,4,0.70894,1.92664,12
0.4,1.4588,4,0.713757,1.92664,12
0.4025,1.4688,4,0.718574,1.92664,12
0.405,1.4788,4,0.72339,1.92664,12
0.4075,1.4888,4,0.728207,1.92664,12
0.41,1.4988,4,0.733023,1.92664,12
0.4125,1.5088,4,0.73784,1.92664,12
0.415,1.5188,4,0.742657,1.92664,12
0.4175,1.52877,3.95238,0.747473,1.92664,12
0.42,1.53849,3.82011,0.75229,1.92664,12
0.4225,1.54787,3.68784,0.757106,1.92664,12
0.425,1.55693,3.55557,0.761923,1.92664,12
0.4275,1.56565,3.4233,0.76674,1.92664,12
0.43,1.57405,3.29103,0.771556,1.92664,12
0.4325,1.58211,3.15876,0.776373,1.92664,12
0.435,1.58984,3.02649,0.781189,1.92664,12
0.4375,1.59724,2.89421,0.786006,1.92664,12
0.44,1.60431,2.76194,0.790823,1.92664,12
0.4425,1.61105,2.62967,0.795639,1.92664,12
0.445,1.61746,2.4974,0.800456,1.92664,12
0.4475,1.62354,2.36513,0.805272,1.92664,12
0.45,1.62928,2.23286,0.810089,1.92664,12
0.4525,1.6347,2.10059,0.814906,1.92664,12
0.455,1.63979,1.96832,0.819722,1.92664,12
0.4575,1.64454,1.83605,0.824539,1.92664,12
0.46,1.64897,1.70378,0.829355,1.92664,12
0.4625,1.65306,1.5715,0.834172,1.92664,12
0.465,1.65682,1.43923,0.838989,1.92664,12
0.4675,1.66026,1.30696,0.843805,1.92664,12
0.47,1.66336,1.17469,0.848622,1.92664,12
0.4725,1.66613,1.04242,0.853438,1.92664,12
0.475,1.66857,0.91015,0.858255,1.92664,12
0.4775,1.67068,0.777879,0.863072,1.92664,12
0.48,1.67246,0.645608,0.867888,1.92664,12
0.4825,1.67391,0.513337,0.872705,1.92664,12
0.485,1.67503,0.381066,0.877521,1.92664,12
0.4875,1.67582,0.248795,0.882338,1.92664,12
0.49,1.67627,0.116524,0.887155,1.92664,12
0.4925,1.6764,0,0.891971,1.92664,12
0.495,1.6764,0,0.896788,1.92664,12
0.4975,1.6764,0,0.901604,1.92664,12
0.5,1.6764,0,0.906421,1.92664,12
0.5025,1.6764,0,0.911238,1.92664,12
0.505,1.6764,0,0.916054,1.92664,12
0.5075,1.6764,0,0.920871,1.92664,12
0.51,1.6764,0,0.925687,1.92664,12
0.5125,1.6764,0,0.930504,1.92664,12
0.515,1.6764,0,0.935321,1.92664,12
0.5175,1.6764,0,0.940137,1.92664,12
0.52,1.6764,0,0.944954,1.92664,12
0.5225,1.6764,0,0.94977,1.92664,12
0.525,1.6764,0,0.954587,1.92664,12
0.5275,1.6764,0,0.959404,1.92664,12
0.53,1.6764,0,0.96422,1.92664,12
0.5325,1.6764,0,0.969037,1.92664,12
0.535,1.6764,0,0.973853,1.92664,12
0.5375,1.6764,0,0.97867,1.92664,12
0.54,1.6764,0,0.983487,1.92664,12
0.5425,1.6764,0,0.988303,1.92664,12
0.545,1.6764,0,0.99312,1.92664,12
0.5475,1.6764,0,0.997936,1.92664,12
0.55,1.6764,0,1.00275,1.92664,12
0.5525,1.6764,0,1.00757,1.92664,12
0.555,1.6764,0,1.01239,1.92664,12
0.5575,1.6764,0,1.0172,1.92664,12
0.56,1.6764,0,1.02202,1.92664,12
0.5625,1.6764,0,1.02684,1.92664,12
0.565,1.6764,0,1.03165,1.92664,12
0.5675,1.6764,0,1.03647,1.92664,12
0.57,1.6764,0,1.04129,1.92664,12
0.5725,1.6764,0,1.0461,1.92664,12
0.575,1.6764,0,1.05092,1.92664,12
0.5775,1.6764,0,1.05574,1.92664,12
0.58,1.6764,0,1.06055,1.92664,12
0.5825,1.6764,0,1.06537,1.92664,12
0.585,1.6764,0,1.07019,1.92664,12
0.5875,1.6764,0,1.075,1.92664,12
0.59,1.6764,0,1.07982,1.92664,12
0.5925,1.6764,0,1.08464,1.92664,12
0.595,1.6764,0,1.08945,1.92664,12
0.5975,1.6764,0,1.09427,1.92664,12
0.6,1.6764,0,1.09909,1.92664,12
0.6025,1.6764,0,1.1039,1.92664,12
0.605,1.6764,0,1.10872,1.92664,12
0.6075,1.6764,0,1.11353,1.92664,12
0.61,1.6764,0,1.11835,1.92664,12
0.6125,1.6764,0,1.12317,1.92664,12
0.615,1.6764,0,1.12798,1.92664,12
0.6175,1.6764,0,1.1328,1.92664,12
0.62,1.6764,0,1.13762,1.92664,12
0.6225,1.6764,0,1.14243,1.92664,12
0.625,1.6764,0,1.14725,1.92664,12
0.6275,1.6764,0,1.15207,1.92664,12
0.63,1.6764,0,1.15688,1.92664,12
0.6325,1.6764,0,1.1617,1.92664,12
0.635,1.6764,0,1.16652,1.92664,12
0.6375,1.6764,0,1.17133,1.92664,12
0.64,1.6764,0,1.17615,1.92664,12
0.6425,1.6764,0,1.18097,1.92664,12
0.645,1.6764,0,1.18578,1.92664,12
0.6475,1.6764,0,1.1906,1.92664,12
0.65,1.6764,0,1.19542,1.92664,12
0.6525,1.6764,0,1.20023,1.92664,12
0.655,1.6764,0,1.20505,1.92664,12
0.6575,1.6764,0,1.20987,1.92664,12
0.66,1.6764,0,1.21468,1.92664,12
0.6625,1.6764,0,1.2195,1.92664,12
0.665,1.6764,0,1.22432,1.92664,12
0.6675,1.6764,0,1.22913,1.92664,12
0.67,1.6764,0,1.23395,1.92664,12
0.6725,1.6764,0,1.23877,1.92664,12
0.675,1.6764,0,1.24358,1.92664,12
0.6775,1.6764,0,1.2484,1.92664,12
0.68,1.6764,0,1.25322,1.92664,12
0.6825,1.6764,0,1.25803,1.92664,12
0.685,1.6764,0,1.26285,1.92664,12
0.6875,1.6764,0,1.26767,1.92664,12
0.69,1.6764,0,1.27248,1.92664,12
0.6925,1.6764,0,1.2773,1.92664,12
0.695,1.6764,0,1.28212,1.92664,12
0.6975,1.6764,0,1.28693,1.92664,12
0.7,1.6764,0,1.29175,1.92664,12
0.7025,1.6764,0,1.29657,1.92664,12
0.705,1.6764,0,1.30138,1.92664,12
0.7075,1.6764,0,1.3062,1.92664,12
0.71,1.6764,0,1.31102,1.92664,12
0.7125,1.6764,0,1.31583,1.92664,12
0.715,1.6764,0,1.32065,1.92664,12
0.7175,1.6764,0,1.32547,1.92664,12
0.72,1.6764,0,1.33028,1.92664,12
0.7225,1.6764,0,1.3351,1.92664,12
0.725,1.6764,0,1.33992,1.92664,12
0.7275,1.6764,0,1.34473,1.92664,12
0.73,1.6764,0,1.34955,1.92664,12
0.7325,1.6764,0,1.35436,1.92664,12
0.735,1.6764,0,1.35918,1.92664,12
0.7375,1.6764,0,1.364,1.92664,12
0.74,1.6764,0,1.36881,1.92664,12
0.7425,1.6764,0,1.37363,1.92664,12
0.745,1.6764,0,1.37845,1.92664,12
0.7475,1.6764,0,1.38326,1.92664,12
0.75,1.6764,0,1.38808,1.92664,12
0.7525,1.6764,0,1.3929,1.92664,12
0.755,1.6764,0,1.39771,1.92664,12
0.7575,1.6764,0,1.40253,1.92664,12
0.76,1.6764,0,1.40735,1.92664,12
0.7625,1.6764,0,1.41216,1.92664,12
0.765,1.6764,0,1.41698,1.92664,12
0.7675,1.6764,0,1.4218,1.92664,12
0.77,1.6764,0,1.42661,1.92664,12
0.7725,1.6764,0,1.43143,1.92664,12
0.775,1.6764,0,1.43625,1.92664,12
0.7775,1.6764,0,1.44106,1.92664,12
0.78,1.6764,0,1.44588,1.92664,12
0.7825,1.6764,0,1.4507,1.92664,12
0.785,1.6764,0,1.45551,1.92664,12
0.7875,1.6764,0,1.46033,1.92664,12
0.79,1.6764,0,1.46515,1.92664,12
0.7925,1.6764,0,1.46996,1.92664,12
0.795,1.6764,0,1.47478,1.92664,12
0.7975,1.6764,0,1.4796,1.92664,12
0.8,1.6764,0,1.48441,1.92664,12
0.8025,1.6764,0,1.48923,1.92664,12
0.805,1.6764,0,1.49405,1.92664,12
0.8075,1.6764,0,1.49886,1.92664,12
0.81,1.6764,0,1.50368,1.92664,12
0.8125,1.6764,0,1.5085,1.92664,12
0.815,1.6764,0,1.51331,1.92664,12
0.8175,1.6764,0,1.51813,1.92664,12
0.82,1.6764,0,1.52295,1.92664,12
0.8225,1.6764,0,1.52776,1.92664,12
0.825,1.6764,0,1.53258,1.92664,12
0.8275,1.6764,0,1.5374,1.92664,12
0.83,1.6764,0,1.54221,1.92664,12
0.8325,1.6764,0,1.54703,1.92664,12
0.835,1.6764,0,1.55185,1.92664,12
0.8375,1.6764,0,1.55666,1.92664,12
0.84,1.6764,0,1.56148,1.92664,12
0.8425,1.6764,0,1.5663,1.92664,12
0.845,1.6764,0,1.57111,1.92664,12
0.8475,1.6764,0,1.57585,1.86772,11.1407
0.85,1.6764,0,1.58041,1.79072,10.5184
0.8525,1.6764,0,1.58478,1.7114,10.0161
0.855,1.6764,0,1.58895,1.63406,9.56226
0.8575,1.6764,0,1.59294,1.55978,9.13635
0.86,1.6764,0,1.59674,1.48876,8.73186
0.8625,1.6764,0,1.60037,1.42094,8.34637
0.865,1.6764,0,1.60384,1.3562,7.97861
0.8675,1.6764,0,1.60714,1.29441,7.62765
0.87,1.6764,0,1.6103,1.23543,7.29269
0.8725,1.6764,0,1.61331,1.17914,6.973
0.875,1.6764,0,1.61618,1.12541,6.66787
0.8775,1.6764,0,1.61893,1.07414,6.37665
0.88,1.6764,0,1.62155,1.02519,6.0987
0.8825,1.6764,0,1.62405,0.978482,5.83341
0.885,1.6764,0,1.62643,0.933898,5.58021
0.8875,1.6764,0,1.62871,0.891346,5.33854
0.89,1.6764,0,1.63088,0.850732,5.10789
0.8925,1.6764,0,1.63295,0.811969,4.88775
0.895,1.6764,0,1.63493,0.774973,4.67764
0.8975,1.6764,0,1.63682,0.739662,4.4771
0.9,1.6764,0,1.63863,0.70596,4.28569
0.9025,1.6764,0,1.64035,0.673793,4.10301
0.905,1.6764,0,1.64199,0.643092,3.92866
0.9075,1.6764,0,1.64356,0.613791,3.76225
0.91,1.6764,0,1.64506,0.585824,3.60342
0.9125,1.6764,0,1.64648,0.559131,3.45182
0.915,1.6764,0,1.64785,0.533655,3.30714
0.9175,1.6764,0,1.64915,0.509339,3.16904
0.92,1.6764,0,1.65039,0.486132,3.03724
0.9225,1.6764,0,1.65157,0.463981,2.91145
0.925,1.6764,0,1.65271,0.442841,2.79138
0.9275,1.6764,0,1.65379,0.422663,2.67679
0.93,1.6764,0,1.65482,0.403405,2.56742
0.9325,1.6764,0,1.6558,0.385024,2.46303
0.935,1.6764,0,1.65674,0.367481,2.3634
0.9375,1.6764,0,1.65763,0.350737,2.2683
0.94,1.6764,0,1.65849,0.334756,2.17755
0.9425,1.6764,0,1.6593,0.319503,2.09092
0.945,1.6764,0,1.66008,0.304945,2.00824
0.9475,1.6764,0,1.66083,0.29105,1.92933
0.95,1.6764,0,1.66154,0.277789,1.85402
0.9525,1.6764,0,1.66221,0.265132,1.78214
0.955,1.6764,0,1.66286,0.253051,1.71353
0.9575,1.6764,0,1.66348,0.241521,1.64805
0.96,1.6764,0,1.66407,0.230516,1.58555
0.9625,1.6764,0,1.66463,0.220013,1.5259
0.965,1.6764,0,1.66516,0.209988,1.46896
0.9675,1.6764,0,1.66568,0.20042,1.41463
0.97,1.6764,0,1.66616,0.191288,1.36276
0.9725,1.6764,0,1.66663,0.182573,1.31326
0.975,1.6764,0,1.66708,0.174254,1.26602
0.9775,1.6764,0,1.6675,0.166314,1.22093
0.98,1.6764,0,1.66791,0.158736,1.17789
0.9825,1.6764,0,1.66829,0.151503,1.13682
0.985,1.6764,0,1.66866,0.1446,1.09761
0.9875,1.6764,0,1.66902,0.138012,1.06019
0.99,1.6764,0,1.66935,0.131723,1.02448
0.9925,1.6764,0,1.66967,0.125721,0.990394
0.995,1.6764,0,1.66998,0.119993,0.957862
0.9975,1.6764,0,1.67027,0.114526,0.926811
1,1.6764,0,1.67055,0.109307,0.897176
1.0025,1.6764,0,1.67082,0.104327,0.86889
1.005,1.6764,0,1.67107,0.0995734,0.841894
1.0075,1.6764,0,1.67132,0.0950364,0.816127
1.01,1.6764,0,1.67155,0.0907061,0.791535
1.0125,1.6764,0,1.67177,0.0865732,0.768063
1.015,1.6764,0,1.67198,0.0826285,0.74566
1.0175,1.6764,0,1.67218,0.0788636,0.724279
1.02,1.6764,0,1.67237,0.0752703,0.703871
1.0225,1.6764,0,1.67256,0.0718407,0.684394
1.025,1.6764,0,1.67273,0.0685673,0.665804
1.0275,1.6764,0,1.6729,0.0654431,0.64806
1.03,1.6764,0,1.67306,0.0624612,0.631126
1.0325,1.6764,0,1.67321,0.0596152,0.614963
1.035,1.6764,0,1.67336,0.0568989,0.599536
1.0375,1.6764,0,1.67349,0.0543064,0.584813
1.04,1.6764,0,1.67363,0.051832,0.57076
1.0425,1.6764,0,1.67375,0.0494703,0.557347
1.045,1.6764,0,1.67387,0.0472162,0.544546
1.0475,1.6764,0,1.67399,0.0450648,0.532328
1.05,1.6764,0,1.6741,0.0430115,0.520666
1.0525,1.6764,0,1.6742,0.0410517,0.509536
1.055,1.6764,0,1.6743,0.0391812,0.498914
1.0575,1.6764,0,1.6744,0.037396,0.488775
1.06,1.6764,0,1.67449,0.0356921,0.479098
1.0625,1.6764,0,1.67458,0.0340658,0.469862
1.065,1.6764,0,1.67466,0.0325136,0.461047
1.0675,1.6764,0,1.67474,0.0310321,0.452633
1.07,1.6764,0,1.67482,0.0296182,0.444603
1.0725,1.6764,0,1.67489,0.0282687,0.436939
1.075,1.6764,0,1.67496,0.0269806,0.429624
1.0775,1.6764,0,1.67502,0.0257513,0.422642
1.08,1.6764,0,1.67508,0.0245779,0.415978
1.0825,1.6764,0,1.67514,0.0234581,0.409618
1.085,1.6764,0,1.6752,0.0223892,0.403548
1.0875,1.6764,0,1.67526,0.0213691,0.397754
1.09,1.6764,0,1.67531,0.0203954,0.392225
1.0925,1.6764,0,1.67536,0.0194661,0.386947
1.095,1.6764,0,1.67541,0.0185792,0.38191
1.0975,1.6764,0,1.67545,0.0177326,0.377102
1.1,1.6764,0,1.67549,0.0169246,0.372513
1.1025,1.6764,0,1.67554,0.0161535,0.368134
1.105,1.6764,0,1.67558,0.0154175,0.363954
1.1075,1.6764,0,1.67561,0.014715,0.359964
1.11,1.6764,0,1.67565,0.0140445,0.356157
1.1125,1.6764,0,1.67568,0.0134046,0.352522
1.115,1.6764,0,1.67572,0.0127938,0.349054
1.1175,1.6764,0,1.67575,0.0122109,0.345743
1.12,1.6764,0,1.67578,0.0116545,0.342583
1.1225,1.6764,0,1.6758,0.0111235,0.339567
1.125,1.6764,0,1.67583,0.0106166,0.336689
1.1275,1.6764,0,1.67586,0.0101329,0.333942
1.13,1.6764,0,1.67588,0.0096712,0.33132
1.1325,1.6764,0,1.67591,0.00923054,0.328817
1.135,1.6764,0,1.67593,0.00880996,0.326428
1.1375,1.6764,0,1.67595,0.00840854,0.324149
1.14,1.6764,0,1.67597,0.00802541,0.321973
1.1425,1.6764,0,1.67599,0.00765974,0.319896
1.145,1.6764,0,1.67601,0.00731073,0.317914
1.1475,1.6764,0,1.67603,0.00697762,0.316022
1.15,1.6764,0,1.67604,0.00665969,0.314217
1.1525,1.6764,0,1.67606,0.00635625,0.312493
1.155,1.6764,0,1.67608,0.00606663,0.310848
1.1575,1.6764,0,1.67609,0.00579021,0.309279
1.16,1.6764,0,1.6761,0.00552639,0.30778
1.1625,1.6764,0,1.67612,0.00527458,0.30635
1.165,1.6764,0,1.67613,0.00503425,0.304985
1.1675,1.6764,0,1.67614,0.00480487,0.303683
1.17,1.6764,0,1.67615,0.00458594,0.302439
1.1725,1.6764,0,1.67617,0.00437698,0.301253
1.175,1.6764,0,1.67618,0.00417755,0.30012
1.1775,1.6764,0,1.67619,0.0039872,0.299039
1.18,1.6764,0,1.6762,0.00380553,0.298007
1.1825,1.6764,0,1.67621,0.00363213,0.297022
1.185,1.6764,0,1.67621,0.00346664,0.296083
1.1875,1.6764,0,1.67622,0.00330868,0.295185
1.19,1.6764,0,1.67623,0.00315793,0.294329
1.1925,1.6764,0,1.67624,0.00301404,0.293512
1.195,1.6764,0,1.67625,0.00287671,0.292732
1.1975,1.6764,0,1.67625,0.00274563,0.291988
1.2,1.6764,0,1.67626,0.00262053,0.291277
1.2025,1.6764,0,1.67627,0.00250113,0.290599
1.205,1.6764,0,1.67627,0.00238717,0.289952
1.2075,1.6764,0,1.67628,0.0022784,0.289334
1.21,1.6764,0,1.67628,0.00217458,0.288745
1.2125,1.6764,0,1.67629,0.0020755,0.288182
1.215,1.6764,0,1.67629,0.00198093,0.287645
1.2175,1.6764,0,1.6763,0.00189067,0.287132
1.22,1.6764,0,1.6763,0.00180453,0.286643
1.2225,1.6764,0,1.67631,0.0017223,0.286176
1.225,1.6764,0,1.67631,0.00164383,0.28573
1.2275,1.6764,0,1.67632,0.00156893,0.285305
1.23,1.6764,0,1.67632,0.00149744,0.284899
1.2325,1.6764,0,1.67632,0.00142921,0.284512
1.235,1.6764,0,1.67633,0.00136409,0.284142
1.2375,1.6764,0,1.67633,0.00130194,0.283789
1.24,1.6764,0,1.67633,0.00124262,0.283452
1.2425,1.6764,0,1.67634,0.001186,0.28313
1.245,1.6764,0,1.67634,0.00113196,0.282823
1.2475,1.6764,0,1.67634,0.00108038,0.28253
1.25,1.6764,0,1.67634,0.00103116,0.282251
1.2525,1.6764,0,1.67635,0.000984171,0.281984
1.255,1.6764,0,1.67635,0.000939328,0.281729
1.2575,1.6764,0,1.67635,0.000896529,0.281486
1.26,1.6764,0,1.67635,0.000855679,0.281254
1.2625,1.6764,0,1.67636,0.000816691,0.281033
1.265,1.6764,0,1.67636,0.000779479,0.280822
1.2675,1.6764,0,1.67636,0.000743963,0.28062
1.27,1.6764,0,1.67636,0.000710065,0.280427
1.2725,1.6764,0,1.67636,0.000677711,0.280244
1.275,1.6764,0,1.67637,0.000646832,0.280068
1.2775,1.6764,0,1.67637,0.00061736,0.279901
1.28,1.6764,0,1.67637,0.00058923,0.279741
1.2825,1.6764,0,1.67637,0.000562382,0.279589
1.285,1.6764,0,1.67637,0.000536758,0.279443
1.2875,1.6764,0,1.67637,0.000512301,0.279304
1.29,1.6764,0,1.67637,0.000488958,0.279172
1.2925,1.6764,0,1.67638,0.000466679,0.279045
1.295,1.6764,0,1.67638,0.000445416,0.278924
1.2975,1.6764,0,1.67638,0.000425121,0.278809
1.3,1.6764,0,1.67638,0.00040575,0.278699
1.3025,1.6764,0,1.67638,0.000387263,0.278594
1.305,1.6764,0,1.67638,0.000369617,0.278494
1.3075,1.6764,0,1.67638,0.000352776,0.278398
1.31,1.6764,0,1.67638,0.000336702,0.278307
1.3125,1.6764,0,1.67638,0.000321361,0.27822
1.315,1.6764,0,1.67638,0.000306718,0.278137
1.3175,1.6764,0,1.67638,0.000292743,0.278057
1.32,1.6764,0,1.67639,0.000279404,0.277982
1.3225,1.6764,0,1.67639,0.000266673,0.277909
1.325,1.6764,0,1.67639,0.000254523,0.27784
1.3275,1.6764,0,1.67639,0.000242925,0.277774
1.33,1.6764,0,1.67639,0.000231857,0.277712
1.3325,1.6764,0,1.67639,0.000221292,0.277652
1.335,1.6764,0,1.67639,0.000211209,0.277594
1.3375,1.6764,0,1.67639,0.000201586,0.27754
1.34,1.6764,0,1.67639,0.000192401,0.277487
1.3425,1.6764,0,1.67639,0.000183634,0.277438
1.345,1.6764,0,1.67639,0.000175267,0.27739
1.3475,1.6764,0,1.67639,0.000167281,0.277345
1.35,1.6764,0,1.67639,0.000159659,0.277301
1.3525,1.6764,0,1.67639,0.000152384,0.27726
1.355,1.6764,0,1.67639,0.000145441,0.277221
1.3575,1.6764,0,1.67639,0.000138814,0.277183
1.36,1.6764,0,1.67639,0.000132489,0.277147
1.3625,1.6764,0,1.67639,0.000126452,0.277113
1.365,1.6764,0,1.67639,0.000120691,0.27708
1.3675,1.6764,0,1.67639,0.000115192,0.277049
